Hexagram Number,Hexagram Name,Binary Sequence,Judgment,Image,Lines,Keywords,Changing Lines,Commentary,Element,Astrological Association,Mythological Association,Affirmation
18,Work on What Has Been Spoiled,010111,"Work on What Has Been Spoiled has supreme success. It furthers one to cross the great water. Before the starting point, three days. After the starting point, three days.",The wind blows low on the mountain: the image of Decay. Thus the superior man stirs up the people and strengthens their spirit.,"{'line_1': 'Setting right what has been spoiled by the father. If there is a son, no blame rests upon the departed father. Danger. In the end, good fortune.', 'line_2': 'Setting right what has been spoiled by the mother. One must not be too persevering.', 'line_3': 'Setting right what has been spoiled by the father. There will be little remorse. No great blame.', 'line_4': 'Tolerating what has been spoiled by the father. In continuing one sees humiliation.', 'line_5': 'Setting right what has been spoiled by the father. One meets with praise.', 'line_6': 'He does not serve kings and princes, sets himself higher goals.'}","Restoration, perseverance, initiative",,,Wind,Scorpio,Renewal,I restore and renew with perseverance.
19,Approach,011001,"Approach has supreme success. Perseverance furthers. When the eighth month comes, there will be misfortune.","The earth above the lake: the image of Approach. Thus the superior man is inexhaustible in his will to teach, and without limits in his tolerance and protection of the people.","{'line_1': 'Joint approach. Perseverance brings good fortune.', 'line_2': 'Joint approach. Good fortune. Everything furthers.', 'line_3': 'Comfortable approach. Nothing that would further. If one is induced to grieve over it, one becomes free of blame.', 'line_4': 'Complete approach. No blame.', 'line_5': 'Wise approach. This is right for a great prince. Good fortune.', 'line_6': 'Approach with good intentions. Supreme good fortune. No blame.'}","Approach, success, perseverance",,,Earth and Lake,Libra,Approach,I approach with success and perseverance.
20,Contemplation,001110,"Contemplation. The ablution has been made, but not yet the offering. Full of trust they look up to him.","The wind blows over the earth: the image of Contemplation. Thus the kings of old visited the regions of the world, contemplated the people, and gave them instruction.","{'line_1': 'Boylike contemplation. For an inferior man, no blame. For a superior man, humiliation.', 'line_2': 'Contemplation through the crack of the door. Furthering for the perseverance of a woman.', 'line_3': 'Contemplation of my life decides the choice between advance and retreat.', 'line_4': 'Contemplation of the light of the kingdom. It furthers one to exert influence as the guest of a king.', 'line_5': 'Contemplation of my life. The superior man is without blame.', 'line_6': 'Contemplation of his life. The superior man is without blame.'}","Contemplation, reflection, insight",,,Wind,Virgo,Vision,I contemplate with reflection and insight.
21,Biting Through,100101,Biting Through has success. It is favorable to let justice be administered.,Thunder and lightning: the image of Biting Through. Thus the kings of former times made firm the laws through clearly defined penalties.,"{'line_1': 'His feet are fastened in the stocks, so that his toes disappear. No blame.', 'line_2': 'Bites through tender meat, so that his nose disappears. No blame.', 'line_3': 'Bites on old dried meat and strikes on something poisonous. Slight humiliation. No blame.', 'line_4': 'Bites on dried gristly meat. Receives metal arrows. It furthers one to be mindful of difficulties and to be persevering. Good fortune.', 'line_5': 'Bites on dried lean meat. Receives yellow gold. Perseveringly aware of danger. No blame.', 'line_6': 'His neck is fastened in the wooden cangue, so that his ears disappear. Misfortune.'}","Justice, firmness, perseverance",,,Thunder and Lightning,Sagittarius,Justice,I administer justice with firmness and perseverance.
22,Grace,101011,"Grace has success. In small matters, it is favorable to undertake something.",Fire at the foot of the mountain: the image of Grace. Thus does the superior man proceed when clearing up current affairs. But he dare not decide controversial issues in this way.,"{'line_1': 'He lends grace to his toes, leaves the carriage, and walks.', 'line_2': 'Lends grace to the beard on his chin.', 'line_3': 'Graceful and moist. Constant perseverance brings good fortune.', 'line_4': 'Grace or simplicity? A white horse comes as if on wings. He is not a robber; he will woo at the right time.', 'line_5': 'Grace in the hills and gardens. The roll of silk is meager and small. Humiliation, but in the end, good fortune.', 'line_6': 'Simple grace. No blame.'}","Grace, beauty, simplicity",,,Fire and Mountain,Libra,Beauty,I embrace grace and simplicity.
23,Splitting Apart,000100,Splitting Apart. It does not further one to go anywhere.,The mountain rests on the earth: the image of Splitting Apart. Thus those above can ensure their position only by giving generously to those below.,"{'line_1': 'The leg of the bed is split. Those who persevere are destroyed. Misfortune.', 'line_2': 'The bed is split at the edge. Those who persevere are destroyed. Misfortune.', 'line_3': 'He splits with them. No blame.', 'line_4': 'The bed is split up to the skin. Misfortune.', 'line_5': 'A shoal of fishes. Favor comes through the court ladies. Everything acts to further.', 'line_6': 'There is a large fruit still uneaten. The superior man receives a carriage. The house of the inferior man is split apart.'}","Destruction, separation, generosity",,,Mountain and Earth,Capricorn,Destruction,I understand the importance of separation and generosity.
24,Return,111000,Return. Success. Going out and coming in without error. Friends come without blame. To and fro goes the way. On the seventh day comes return. It furthers one to have somewhere to go.,"Thunder within the earth: the image of Return. Thus the kings of antiquity closed the passes at the time of the solstice. Merchants and strangers did not go about, and the ruler did not travel through the provinces.","{'line_1': 'Return from a short distance. No need for remorse. Great good fortune.', 'line_2': 'Quiet return. Good fortune.', 'line_3': 'Repeated return. Danger. No blame.', 'line_4': 'Walking in the midst of others, one returns alone.', 'line_5': 'Noblehearted return. No remorse.', 'line_6': 'Missing the return. Misfortune. Misfortune from within and without. If armies are set marching in this way, one will suffer a great defeat, thereby the ruler’s country will suffer loss. For ten years it will not be possible to attack again.'}","Return, renewal, success",,,Thunder and Earth,Aquarius,Renewal,I embrace renewal and success.
25,Innocence,111001,"Innocence. Supreme success. Perseverance furthers. If someone is not as he should be, he has misfortune, and it does not further him to undertake anything.","Under heaven thunder rolls: all things attain the natural state of innocence. Thus the kings of old, rich in virtue, and in harmony with the time, fostered and nourished all beings.","{'line_1': 'Innocent behavior brings good fortune.', 'line_2': 'If one does not count on the harvest while plowing, nor on the use of the ground while clearing it, it furthers one to undertake something.', 'line_3': 'Undeserved misfortune. The cow that was tethered by someone is the wanderer’s gain, the citizen’s loss.', 'line_4': 'He who can be persevering remains without blame.', 'line_5': 'Use no medicine in an illness incurred through no fault of your own. It will pass of itself.', 'line_6': 'Innocent action brings misfortune. Nothing furthers.'}","Innocence, virtue, perseverance",,,Thunder and Heaven,Pisces,Innocence,I embody innocence and virtue.
26,The Taming Power of the Great,100111,The Taming Power of the Great. Perseverance furthers. Not eating at home brings good fortune. It furthers one to cross the great water.,"Heaven within the mountain: the image of The Taming Power of the Great. Thus the superior man acquaints himself with many sayings of antiquity and many deeds of the past, in order to strengthen his character thereby.","{'line_1': 'Danger is at hand. It furthers one to desist.', 'line_2': 'The axletrees are taken from the wagon.', 'line_3': 'A good horse that follows others. Awareness of danger, with perseverance, brings good fortune.', 'line_4': 'The headboard of a young bull. Great good fortune.', 'line_5': 'The tusk of a gelded boar. Good fortune.', 'line_6': 'One attains the way of heaven. Success.'}","Perseverance, strength, preparation",,,Heaven and Mountain,Aries,Strength,I embody strength and perseverance.
27,The Corners of the Mouth,100001,The Corners of the Mouth. Perseverance brings good fortune. Pay heed to the providing of nourishment and to what a man seeks to fill his own mouth with.,"At the foot of the mountain, thunder: the image of The Corners of the Mouth. Thus the superior man is careful of his words and temperate in eating and drinking.","{'line_1': 'You let your magic tortoise go, and look at me with the corners of your mouth drooping. Misfortune.', 'line_2': 'Turning to the summit for nourishment, devoting oneself to the spirits of the ancestors, one is blessed with good fortune. Be devoted, so there will be no mistake.', 'line_3': 'Turning away from nourishment. Perseverance brings misfortune. Do not act thus for ten years. Nothing serves to further.', 'line_4': 'Turning to the summit for provision of nourishment brings good fortune. Spying about with sharp eyes like a tiger with insatiable craving. No blame.', 'line_5': 'Turning away from the path. To remain persevering brings good fortune. One should not cross the great water.', 'line_6': 'The source of nourishment. Awareness of danger brings good fortune. It furthers one to cross the great water.'}","Nourishment, care, moderation",,,Mountain and Thunder,Taurus,Nourishment,I nourish myself with care and moderation.
28,Preponderance of the Great,111100,Preponderance of the Great. The ridgepole sags to the breaking point. It furthers one to have somewhere to go. Success.,"The lake rises above the trees: the image of Preponderance of the Great. Thus the superior man, when he stands alone, is unconcerned, and if he has to renounce the world, he is undaunted.","{'line_1': 'To spread white rushes underneath. No blame.', 'line_2': 'A dry poplar sprouts at the root. An older man takes a young wife. Everything furthers.', 'line_3': 'The ridgepole sags to the breaking point. Misfortune.', 'line_4': 'The ridgepole is braced. Good fortune. If there are ulterior motives, it is humiliating.', 'line_5': 'A withered poplar puts forth flowers. An older woman takes a husband. No blame. No praise.', 'line_6': 'One must go through the water. It goes over one’s head. Misfortune. No blame.'}","Greatness, perseverance, balance",,,Lake and Wood,Gemini,Greatness,I achieve greatness with perseverance and balance.
29,The Abysmal,010010,"The Abysmal repeated. If you are sincere, you have success in your heart, and whatever you do succeeds.",Water flows on uninterruptedly and reaches its goal: the image of The Abysmal repeated. Thus the superior man walks in lasting virtue and carries on the business of teaching.,"{'line_1': 'Repetition of the Abysmal. In the abyss one falls into a pit. Misfortune.', 'line_2': 'The abyss is dangerous. One should strive to attain small things only.', 'line_3': 'Forward and backward, abyss on abyss. In danger like this, pause at first and wait, Otherwise you will fall into a pit in the abyss. Do not act in this way.', 'line_4': 'A jug of wine, a bowl of rice with it; earthen vessels simply handed in through the window. There is certainly no blame in this.', 'line_5': 'The abyss is not filled to overflowing, It is filled only to the rim. No blame.', 'line_6': 'Bound with cords and ropes, shut in between thorn-hedged prison walls: for three years one does not find the way. Misfortune.'}","Danger, perseverance, wisdom",,,Water,Cancer,Danger,I navigate danger with perseverance and wisdom.
30,"The Clinging, Fire",101110,The Clinging. Perseverance furthers. It brings success. Care of the cow brings good fortune.,"That which is bright rises twice: the image of Fire. Thus the great man, by perpetuating this brightness, illumines the four quarters of the world.","{'line_1': 'The footprints run crisscross. If one is seriously intent, no blame.', 'line_2': 'Yellow light. Supreme good fortune.', 'line_3': 'In the light of the setting sun, men either beat the pot and sing or loudly bewail the approach of old age. Misfortune.', 'line_4': 'Its coming is sudden; it flames up, dies down, is thrown away.', 'line_5': 'Tears in floods, sighing and lamenting. Good fortune.', 'line_6': 'The king uses him to march forth and chastise. Then it is best to kill the leaders and take captive the followers. No blame.'}","Clinging, perseverance, brightness",,,Fire,Leo,Fire,I persevere with brightness and clarity.
31,Influence,011011,Influence. Success. Perseverance furthers. To take a maiden to wife brings good fortune.,A lake on the mountain: the image of Influence. Thus the superior man encourages people to approach him by his readiness to receive them.,"{'line_1': 'The influence shows itself in the big toe.', 'line_2': 'The influence shows itself in the calves of the legs. Misfortune. Tarrying brings good fortune.', 'line_3': 'The influence shows itself in the thighs. Holds to that which follows it. To continue is humiliating.', 'line_4': 'Perseverance brings good fortune. Remorse disappears. If a man is agitated in mind, and his thoughts go hither and thither, only those friends on whom he fixes his conscious thoughts will follow.', 'line_5': 'The influence shows itself in the back of the neck. No remorse.', 'line_6': 'The influence shows itself in the jaws, cheeks, and tongue.'}","Influence, success, perseverance",,,Lake and Mountain,Libra,Influence,I influence with success and perseverance.
32,Duration,111001,Duration. Success. No blame. Perseverance furthers. It furthers one to have somewhere to go.,Thunder and wind: the image of Duration. Thus the superior man stands firm and does not change his direction.,"{'line_1': 'Seeking duration too hastily brings misfortune persistently. No blame.', 'line_2': 'Remorse disappears.', 'line_3': 'He who does not give duration to his character meets with disgrace. Persistent humiliation.', 'line_4': 'No game in the field.', 'line_5': ""Giving duration to one's character through perseverance. This is good fortune for a woman, misfortune for a man."", 'line_6': 'Restlessness as an enduring condition brings misfortune.'}","Duration, perseverance, stability",,,Thunder and Wind,Taurus,Stability,I achieve duration with perseverance and stability.
33,Retreat,111010,"Retreat. Success. In what is small, perseverance furthers.","Mountain under heaven: the image of Retreat. Thus the superior man keeps the inferior man at a distance, not angrily but with reserve.","{'line_1': 'At the tail in retreat. This is dangerous. One must not wish to undertake anything.', 'line_2': 'He holds him fast with yellow oxhide. No one can tear him loose.', 'line_3': 'A halted retreat is both good fortune and good misfortune.', 'line_4': 'Voluntary retreat brings good fortune to the superior man and downfall to the inferior man.', 'line_5': 'Friendly retreat. Perseverance brings good fortune.', 'line_6': 'Cheerful retreat. Everything serves to further.'}","Retreat, success, perseverance",,,Mountain and Heaven,Capricorn,Retreat,I retreat with success and perseverance.
34,The Power of the Great,111100,The Power of the Great. Perseverance furthers.,Thunder in heaven above: the image of The Power of the Great. Thus the superior man does not tread upon paths that do not accord with established order.,"{'line_1': 'Power in the toes. Continuing brings misfortune. This is certainly true.', 'line_2': 'Perseverance brings good fortune.', 'line_3': 'The inferior man works through power. The superior man does not act thus. To continue is dangerous. A goat butts against a hedge and gets its horns entangled.', 'line_4': 'Perseverance brings good fortune. Remorse disappears. The hedge opens; there is no entanglement. Power depends upon the axle of a big cart.', 'line_5': 'Loses the goat with ease. No remorse.', 'line_6': 'A goat butts against a hedge. It cannot go backward, it cannot go forward. Nothing serves to further. If one notes the difficulty, this brings good fortune.'}","Power, perseverance, order",,,Thunder and Heaven,Aries,Power,I embody the power of perseverance and order.
35,Progress,101011,Progress. The powerful prince is honored with horses in large numbers. In a single day he is granted audience three times.,The sun rises over the earth: the image of Progress. Thus the superior man himself brightens his bright virtue.,"{'line_1': 'Progressing, but turned back. Perseverance brings good fortune. If one meets with no confidence, one should remain calm. No mistake.', 'line_2': ""Progressing, but in sorrow. Perseverance brings good fortune. Then one obtains great happiness from one's ancestress."", 'line_3': 'All are in accord. Remorse disappears.', 'line_4': 'Progress like a hamster. Perseverance brings danger.', 'line_5': 'Remorse disappears. Take not gain and loss to heart. Undertakings bring good fortune. Everything serves to further.', 'line_6': ""Making progress with the horns is permissible only for the purpose of punishing one's own city. To be conscious of danger brings good fortune. No blame. Perseverance brings humiliation.""}","Progress, success, perseverance",,,Sun and Earth,Leo,Progress,I progress with success and perseverance.
36,Darkening of the Light,011101,Darkening of the Light. In adversity it furthers one to be persevering.,"The light has sunk into the earth: the image of Darkening of the Light. Thus does the superior man live with the great mass: He veils his light, yet still shines.","{'line_1': 'Darkening of the light during flight. He lowers his wings. The superior man does not eat for three days on his wanderings. But he has somewhere to go. The host has occasion to gossip about him.', 'line_2': 'Darkening of the light injures him in the left thigh. He gives aid with the strength of a horse. Good fortune.', 'line_3': 'Darkening of the light during the hunt in the south. Their great leader is captured. One must not expect perseverance too soon.', 'line_4': 'He penetrates the left side of the belly. One gets at the very heart of the darkening of the light and leaves the gate and courtyard.', 'line_5': 'Darkening of the light as with Prince Chi. Perseverance furthers.', 'line_6': 'Not light but darkness. First he climbs up to heaven, then he plunges into the depths of the earth.'}","Adversity, perseverance, concealment",,,Earth,Scorpio,Darkness,I persevere through adversity and concealment.
37,The Family,110101,The Family. The perseverance of the woman furthers.,Wind comes forth from fire: the image of The Family. Thus the superior man has substance in his words and duration in his way of life.,"{'line_1': 'Firm seclusion within the family. Remorse disappears.', 'line_2': 'She should not follow her whims. She must attend within to the food. Perseverance brings good fortune.', 'line_3': 'When tempers flare up in the family, too great severity brings remorse. Good fortune nonetheless. When woman and child dally and laugh, it leads in the end to humiliation.', 'line_4': 'She is the treasure of the house. Great good fortune.', 'line_5': 'As a king he approaches his family. Fear not. Good fortune.', 'line_6': 'His work commands respect. In the end good fortune comes.'}","Family, order, harmony",,,Wind and Fire,Cancer,Family,I bring order and harmony to my family.
38,Opposition,101101,"Opposition. In small matters, good fortune.","Above, fire; below, the lake: the image of Opposition. Thus amid all fellowship the superior man retains his individuality.","{'line_1': 'Remorse disappears. If you lose your horse, do not run after it; it will return of its own accord. When you see evil people, guard yourself against mistakes.', 'line_2': 'One meets his lord in a narrow street. No blame.', 'line_3': ""One sees the wagon dragged back, the oxen halted, a man's hair and nose cut off. Not a good beginning, but a good end."", 'line_4': 'Isolated through opposition, one meets a like-minded man with whom one can associate in good faith. Despite the danger, no blame.', 'line_5': 'Remorse disappears. The companion bites his way through the wrappings. If one goes to him, how could it be a mistake?', 'line_6': 'Isolated through opposition, one sees his companion as a pig covered with dirt, as a wagon full of devils. First one draws a bow against him, then one lays the bow aside. He is not a robber; he will woo at the right time. As one goes, rain falls; then good fortune comes.'}","Opposition, individuality, small matters",,,Fire and Lake,Aquarius,Opposition,I retain my individuality amid opposition.
39,Obstruction,100011,Obstruction. The southwest furthers. The northeast does not further. It furthers one to see the great man. Perseverance brings good fortune.,Water on the mountain: the image of Obstruction. Thus the superior man turns his attention to himself and molds his character.,"{'line_1': 'Going leads to obstructions, Coming leads to great good fortune.', 'line_2': ""The king's servant is beset by obstructions upon obstructions, But it is not his own fault."", 'line_3': 'Going leads to obstructions; hence he comes back.', 'line_4': 'Going leads to obstructions, Coming leads to union.', 'line_5': 'In the midst of the greatest obstructions, Friends come.', 'line_6': 'Going leads to obstructions, Coming leads to great good fortune. It furthers one to see the great man.'}","Obstruction, perseverance, character",,,Water and Mountain,Pisces,Obstruction,I persevere through obstructions and mold my character.
40,Deliverance,011100,"Deliverance. The southwest furthers. If there is no longer anything where one has to go, return brings good fortune. If there is still something where one has to go, hastening brings good fortune.",Thunder and rain set in: the image of Deliverance. Thus the superior man pardons mistakes and forgives misdeeds.,"{'line_1': 'Without blame.', 'line_2': 'One kills three foxes in the field and receives a yellow arrow. Perseverance brings good fortune.', 'line_3': 'If a man carries a burden on his back and nonetheless rides in a carriage, he thereby encourages robbers to draw near. Perseverance leads to humiliation.', 'line_4': 'Deliver yourself from your great toe. Then the companion comes, and him you can trust.', 'line_5': 'If only the superior man can deliver himself, it brings good fortune. Thus he proves to the inferior man that he is in earnest.', 'line_6': 'The prince shoots at a hawk on a high wall. He kills it. Everything serves to further.'}","Deliverance, forgiveness, perseverance",,,Thunder and Rain,Sagittarius,Deliverance,I deliver myself with forgiveness and perseverance.
41,Decrease,100001,Decrease combined with sincerity brings about supreme good fortune without blame. One may be persevering in this. It furthers one to undertake something. How is this to be carried out? One may use two small bowls for the sacrifice.,"At the foot of the mountain, the lake: the image of Decrease. Thus the superior man controls his anger and restrains his instincts.","{'line_1': ""Going quickly when one's tasks are finished is without blame. But one must reflect on how much one may decrease others."", 'line_2': 'Perseverance furthers. To undertake something brings misfortune. Without decreasing oneself, one is able to bring increase to others.', 'line_3': 'When three people journey together, their number decreases by one. When one man journeys alone, he finds a companion.', 'line_4': 'If a man decreases his faults, it makes the other hasten to come and rejoice. No blame.', 'line_5': 'Someone does indeed increase him. Ten pairs of tortoises cannot oppose it. Supreme good fortune.', 'line_6': 'If one is increased without depriving others, there is no blame. Perseverance brings good fortune. It furthers one to undertake something. One obtains servants but no longer has a separate home.'}","Decrease, restraint, perseverance",,,Mountain and Lake,Virgo,Restraint,I practice decrease with restraint and perseverance.
42,Increase,001001,Increase. It furthers one to undertake something. It furthers one to cross the great water.,"Wind and thunder: the image of Increase. Thus the superior man: If he sees good, he imitates it; if he has faults, he rids himself of them.","{'line_1': 'It furthers one to accomplish great deeds. Supreme good fortune. No blame.', 'line_2': 'Someone does indeed increase him; ten pairs of tortoises cannot oppose it. Constant perseverance brings good fortune. The king presents him before God. Good fortune.', 'line_3': 'One is enriched through unfortunate events. No blame if you are sincere and walk in the middle, and report with a seal to the prince.', 'line_4': 'If you walk in the middle and report to the prince, he will follow. It furthers one to be used in the removal of the capital.', 'line_5': 'If in truth you have a kind heart, ask not. Supreme good fortune. Truly, kindness will be recognized as your virtue.', 'line_6': 'He brings increase to no one. Indeed, someone even strikes him. He does not keep his heart constantly steady. Misfortune.'}","Increase, growth, perseverance",,,Wind and Thunder,Libra,Growth,I embrace increase with growth and perseverance.
43,Breakthrough,111000,Breakthrough. One must resolutely make the matter known at the court of the king. It must be announced truthfully. Danger. It is necessary to notify one's own city. It does not further to resort to arms. It furthers one to undertake something.,The lake has risen up to heaven: the image of Breakthrough. Thus the superior man dispenses riches downward and refrains from resting on his virtue.,"{'line_1': 'Mighty in the forward-striding toes. When one goes and is not equal to the task, one makes a mistake.', 'line_2': 'A cry of alarm. Arms at evening and at night. Fear nothing.', 'line_3': 'To be powerful in the cheekbones brings misfortune. The superior man is firmly resolved. He walks alone and encounters rain. He is bespattered, and people murmur against him. No blame.', 'line_4': 'There is no skin on his thighs, and walking comes hard. If a man were to let himself be led like a sheep, remorse would disappear. But if these words are heard, they will not be believed.', 'line_5': 'In dealing with weeds, firm resolution is necessary. Walking in the middle remains free of blame.', 'line_6': 'No cry. In the end, misfortune comes.'}","Breakthrough, resolution, perseverance",,,Lake and Heaven,Scorpio,Breakthrough,I achieve breakthrough with resolution and perseverance.
44,Coming to Meet,010111,Coming to Meet. The maiden is powerful. One should not marry such a maiden.,"Under heaven, wind: the image of Coming to Meet. Thus does the prince act when disseminating his commands and proclaiming them to the four quarters of heaven.","{'line_1': 'It must be checked with a brake of bronze. Perseverance brings good fortune. If one lets it take its course, one experiences misfortune.', 'line_2': 'There is a fish in the tank. No blame. Does not further guests.', 'line_3': 'There is no skin on his thighs, and walking comes hard. If a man were to let himself be led like a sheep, remorse would disappear. But if these words are heard, they will not be believed.', 'line_4': 'No fish in the tank. This leads to misfortune.', 'line_5': 'A melon covered with willow leaves. Hidden lines. Then it drops down to one from heaven.', 'line_6': 'He comes to meet with his horns. Humiliation. No blame.'}","Meeting, caution, perseverance",,,Wind and Heaven,Sagittarius,Meeting,I come to meet with caution and perseverance.
45,Gathering Together,010011,Gathering Together. Success. The king approaches his temple. It furthers one to see the great man. This brings success. Perseverance furthers. To bring great offerings creates good fortune. It furthers one to undertake something.,"Over the earth, the lake: the image of Gathering Together. Thus the superior man renews his weapons in order to meet the unforeseen.","{'line_1': 'If you are sincere, but not to the end, there will sometimes be confusion, sometimes gathering together. If you call out, then after one grasp of the hand you can laugh again. Regret not. Going is without blame.', 'line_2': 'Letting oneself be drawn brings good fortune and remains blameless. If one is sincere, it furthers one to bring even a small offering.', 'line_3': 'Gathering together amid sighs. Nothing that would further. Going is without blame. Slight humiliation.', 'line_4': 'Great good fortune. No blame.', 'line_5': 'If in gathering together one has position, this brings no blame. If there are some who are not yet sincerely in the work, sublime and enduring perseverance is needed. Then remorse disappears.', 'line_6': 'Lamenting and sighing, floods of tears. No blame.'}","Gathering, success, perseverance",,,Lake and Earth,Capricorn,Gathering,I gather together with success and perseverance.
